bpvalue: 0, first_n: 0, bits: 1
bpvalue: 1, first_n: 0, bits: 3
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 544, first_n: 1, bits: 13
bpvalue: 548, first_n: 10, bits: 11
bpvalue: 36, first_n: 10, bits: 11
bpvalue: 37, first_n: 10, bits: 11
bpvalue: 672, first_n: 10, bits: 11
bpvalue: 4224, first_n: 10, bits: 15
bpvalue: 4676, first_n: 13, bits: 14
bpvalue: 19659, first_n: 13, bits: 17
bpvalue: 28217, first_n: 15, bits: 16
bpvalue: 33480, first_n: 15, bits: 16
bpvalue: 26944, first_n: 16, bits: 16
bpvalue: 12276, first_n: 16, bits: 16
bpvalue: 43408, first_n: 16, bits: 16
bpvalue: 15965, first_n: 16, bits: 16
bpvalue: 52012, first_n: 16, bits: 16
bpvalue: 20288, first_n: 16, bits: 16
bpvalue: 65292, first_n: 16, bits: 16
bpvalue: 17084, first_n: 16, bits: 16
bpvalue: 24604, first_n: 16, bits: 16
bpvalue: 40676, first_n: 16, bits: 16
bpvalue: 54882, first_n: 16, bits: 16
bpvalue: 23364, first_n: 16, bits: 16
bpvalue: 79, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 1, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 1, first_n: 16, bits: 16
bpvalue: 1, first_n: 16, bits: 16
bpvalue: 544, first_n: 16, bits: 16
bpvalue: 548, first_n: 16, bits: 16
bpvalue: 36, first_n: 16, bits: 16
bpvalue: 37, first_n: 16, bits: 16
bpvalue: 672, first_n: 16, bits: 16
bpvalue: 4232, first_n: 16, bits: 16
bpvalue: 4716, first_n: 16, bits: 16
bpvalue: 33511, first_n: 16, bits: 16
bpvalue: 45864, first_n: 16, bits: 16
bpvalue: 24899, first_n: 16, bits: 16
bpvalue: 3996, first_n: 16, bits: 16
bpvalue: 32070, first_n: 16, bits: 16
bpvalue: 41903, first_n: 16, bits: 16
bpvalue: 31084, first_n: 16, bits: 16
bpvalue: 42581, first_n: 16, bits: 16
bpvalue: 25950, first_n: 16, bits: 16
bpvalue: 6132, first_n: 16, bits: 16
bpvalue: 576, first_n: 16, bits: 16
bpvalue: 24053, first_n: 16, bits: 16
bpvalue: 15329, first_n: 16, bits: 16
bpvalue: 9154, first_n: 16, bits: 16
bpvalue: 23182, first_n: 16, bits: 16
bpvalue: 32836, first_n: 16, bits: 16
bpvalue: 6144, first_n: 16, bits: 16
bpvalue: 8, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 16, bits: 16
bpvalue: 0, first_n: 0, bits: 1
