bpvalue: 0, first_n: 0, bits: 1
bpvalue: 9009708305670127, first_n: 0, bits: 81
bpvalue: 9009708305670127, first_n: 54, bits: 55
bpvalue: 824868821503, first_n: 54, bits: 55
bpvalue: 311637040127, first_n: 54, bits: 55
bpvalue: 584115617792, first_n: 54, bits: 55
bpvalue: 17925632, first_n: 54, bits: 55
bpvalue: 586800169472, first_n: 54, bits: 55
bpvalue: 9008026624541968, first_n: 54, bits: 55
bpvalue: 876410764783, first_n: 54, bits: 55
bpvalue: 9009965954177263, first_n: 54, bits: 55
bpvalue: 37692668928256, first_n: 54, bits: 55
bpvalue: 37712014090752, first_n: 54, bits: 55
bpvalue: 35736513624831, first_n: 54, bits: 55
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 9009708288859631, first_n: 0, bits: 78
bpvalue: 9009708288859631, first_n: 54, bits: 55
bpvalue: 824885631999, first_n: 54, bits: 55
bpvalue: 9007510876020223, first_n: 54, bits: 55
bpvalue: 9007235779888640, first_n: 54, bits: 55
bpvalue: 2201724747792, first_n: 54, bits: 55
bpvalue: 9007783371637776, first_n: 54, bits: 55
bpvalue: 9009675337220880, first_n: 54, bits: 55
bpvalue: 9007477052365807, first_n: 54, bits: 55
bpvalue: 9010260208687359, first_n: 54, bits: 55
bpvalue: 9009435357020160, first_n: 54, bits: 55
bpvalue: 37178691600, first_n: 54, bits: 55
bpvalue: 9009675370904263, first_n: 54, bits: 55
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 9009708288859631, first_n: 0, bits: 78
bpvalue: 9009708288859631, first_n: 54, bits: 55
bpvalue: 824885631999, first_n: 54, bits: 55
bpvalue: 9010260192222719, first_n: 54, bits: 55
bpvalue: 2785824539648, first_n: 54, bits: 55
bpvalue: 2201724485648, first_n: 54, bits: 55
bpvalue: 9007783908246528, first_n: 54, bits: 55
bpvalue: 826831586048, first_n: 54, bits: 55
bpvalue: 9009434869336791, first_n: 54, bits: 55
bpvalue: 9009707633477847, first_n: 54, bits: 55
bpvalue: 586851357496, first_n: 54, bits: 55
bpvalue: 3060717851648, first_n: 54, bits: 55
bpvalue: 9010259620781023, first_n: 54, bits: 55
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 2509034118639, first_n: 0, bits: 65
bpvalue: 2509034118639, first_n: 42, bits: 43
bpvalue: 9008024140372991, first_n: 42, bits: 56
bpvalue: 3026593504255, first_n: 54, bits: 55
bpvalue: 9007201402323456, first_n: 54, bits: 55
bpvalue: 2510979974416, first_n: 54, bits: 55
bpvalue: 9007474719932672, first_n: 54, bits: 55
bpvalue: 9007510640985600, first_n: 54, bits: 55
bpvalue: 9007510725249495, first_n: 54, bits: 55
bpvalue: 2476301835975, first_n: 54, bits: 55
bpvalue: 3060885722640, first_n: 54, bits: 55
bpvalue: 34544337712, first_n: 54, bits: 55
bpvalue: 9008060647546327, first_n: 54, bits: 55
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 309473730031, first_n: 0, bits: 59
bpvalue: 309473730031, first_n: 39, bits: 40
bpvalue: 9009399050263551, first_n: 39, bits: 57
bpvalue: 2382617599, first_n: 54, bits: 55
bpvalue: 827335180288, first_n: 54, bits: 55
bpvalue: 37078812432, first_n: 54, bits: 55
bpvalue: 2508277744400, first_n: 54, bits: 55
bpvalue: 9007235795845392, first_n: 54, bits: 55
bpvalue: 9008024527260871, first_n: 54, bits: 55
bpvalue: 9007783571840511, first_n: 54, bits: 55
bpvalue: 9007786207023416, first_n: 54, bits: 55
bpvalue: 9007202106954024, first_n: 54, bits: 55
bpvalue: 9008061016674263, first_n: 54, bits: 55
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 10522660838824893935, first_n: 0, bits: 86
bpvalue: 10522660838824893935, first_n: 64, bits: 64
bpvalue: 10531669928367823103, first_n: 64, bits: 64
bpvalue: 10531669930515044607, first_n: 64, bits: 64
bpvalue: 9010225646519040, first_n: 64, bits: 64
bpvalue: 9008060413871120, first_n: 64, bits: 64
bpvalue: 309775664400, first_n: 64, bits: 64
